"Decalopoda","australis","Decalopoda1.jpg","Decalopoda australis   ","None","David Barnes","None","Signy I., Scotia arc","Decalopodatext.doc","Tomas Munilla","Decalopoda1.txt","Decalopoda2.txt","Decalopoda3.txt","Decalopoda4.txt","Decalopoda5.txt","*",,,,,,
"Decalopoda","australis","Decalopoda2.jpg","Decalopoda australis   ","None","David Barnes","None","Deception I. (AP)","Decalopodatext.doc","Tomas Munilla","Decalopoda1.txt","Decalopoda2.txt","Decalopoda3.txt","Decalopoda4.txt","Decalopoda5.txt","*",,,,,,
"Decalopoda","australis","Decalopoda3.jpg","Decalopoda australis   ","None","BAS","None","Signy I., Scotia arc","Decalopodatext.doc","Tomas Munilla","Decalopoda1.txt","Decalopoda2.txt","Decalopoda3.txt","Decalopoda4.txt","Decalopoda5.txt","*",,,,,,
"Djerboa","furcipes ","*","*","*","*","None","*","Djerboatext.doc","*","Djerboa1.txt","Djerboa2.txt","Djerboa3.txt","*","*","Djerboa6.txt",,,,,,
"Epimeria","robusta","*","*","*","*","None","*","Epimeria.robtext.doc","*","Epimeria1.rob.txt","Epimeria2.rob..txt","Epimeria3.rob.txt","Epimeria4.rob.txt","Epimeria5.rob.txt","*",,,,,,
"Epimeria","rubrieques ","*","*","*","*","None","*","Epimeria.rubtext.doc","*","Epimeria1.rub.txt","Epimeria2.rub..txt","Epimeria3.rub.txt","Epimeria4.rub.txt","Epimeria5.rub.txt","*",,,,,,
"Epimeria","georgina","Epimeria1.ine.jpg","Epimeria cf georgiana","None","BAS","None","Elephant I. (AP)","*","Anne-Nina Loerz","*","*","*","*","*","*",,,,,,
"Epimeria","inermis","Epimeria1.geo.jpg","Epimeria inermis","None","BAS","None","Elephant I. (AP)","*","Anne-Nina Loerz","*","*","*","*","*","*",,,,,,
"Epimeria","sp.","Epimeria1.sp.jpg","Epimeria sp.","None","David Barnes","None","Elephant I. (AP)","*","Anne-Nina Loerz","*","*","*","*","*","*",,,,,,
"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Known Distribution","Ecology","Size","Depth","Reference",,,,,,
"Epimeria","sp.","Epimeria2.sp.jpg","Epimeria sp.","None","BAS","None","Elephant I. (AP)","*","Anne-Nina Loerz","*","*","*","*","*","*",,,,,,
"Eudorella","fallax","Eudorella1.jpg","Eudorella fallax","None","BAS","None","Elephant I. (AP)","*","Ute Muehlenhardt-Siegel","*","*","*","*","*","*",,,,,,
"Eusiridae","sp.","Eusiridae1.jpg","Eusiridae sp.","None","Cath Waller","None","Ryder Bay (WAP)","*","Claude de Broyer","*","*","*","*","*","*",,,,,,
"Eusirus","perdentatus","*","*","*","*","None","*","Eusirustext.doc",,"*","Eusirus2.txt","Eusirus3.txt","Eusirus4.txt","Eusirus5.txt","*",,,,,,
"Eurypodius","latreillei","Eurypodius1.jpg","Eurypodius latreillei ","None","David Barnes","None","Falkland Trough","*","Gustavo Lovrich","*","*","*","*","*","*",,,,,,
