"Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identification","Description","Distribution","Ecology","Size","Depth","Reference"
"Parazoanthus","sp.","Parazoanthus1.jpg","Parazoanthus sp.","None","BAS","None","South Georgia","*","Stephen Cairns","*","*","*","*","*","*"
"Primnoella","sp.","Primnoella1.jpg","Primnoella sp","None","BAS","None","South Orkney Is. (Scotia arc)","*","Stephen Cairns","*","*","*","*","*","*"
"Diplulmaris","antarctica   ","Scyphozoa1.jpg","Scyphozoa sp.","None","Simon Brockington","None","South Cove, Rothera","*","Unknown","*","*","*","*","*","*"
"Stegella","lobata","Stegella1.jpg","Stegella lobata","None","*","None","Ryder Bay, WAP","*","Alvaro Pena","*","*","*","*","*","*"
"Stegella","lobata","Stegella2.jpg","Stegella lobata","None","*","None","Ryder Bay, WAP","*","Alvaro Pena","*","*","*","*","*","*"
"Stylasteridae ","sp.","Stylasteridae1.jpg","Stylasteridae ","None","David Barnes","None","Shag Rocks (Scotia arc)","*","Unknown","*","*","*","*","*","*"
"Stylasterina","sp.","Stylasterina1.jpg","Stylasterina sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Stylasterina","sp.","Stylasterina2.jpg","Stylasterina sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Stylasterina","sp.","Stylasterina3.jpg","Stylasterina sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Stylasterina","sp.","Stylasterina4.jpg","Stylasterina sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Thourarella","sp.","Thourarella1.jpg","Thourarella sp","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Thourella ","sp.","Thourella1.jpg","Thourella sp.","None","David Barnes","None","Shag Rocks (Scotia arc)","*","David Barnes","*","*","*","*","*","*"
"Thourella ","sp.","Thourella2.jpg","Thourella sp.","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Thourella ","sp.","Thourella3.jpg","Thourella sp.","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Thourella ","sp.","Thourella4.jpg","Thourella sp.","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Tubularia ","sp.","Tubularia1.sp.jpg","Tubularia sp.","None","David Barnes","None","South Orkney Is. (Scotia arc)","*","David Barnes","*","*","*","*","*","*"
"Tubularia ","sp.","Tubularia2.sp.jpg","Tubularia sp.","None","*","None","*","*","David Barnes","*","*","*","*","*","*"
"Umbelulla ","sp.","Umbelulla1.jpg","Umbelulla sp.","None","David Barnes","None","*","*","David Barnes","*","*","*","*","*","*"
"Umbelulla ","sp.","Umbelulla2.jpg","Umbelulla sp.","Whole Coral","David Barnes","None","*","*","David Barnes","*","*","*","*","*","*"
"Urticinopsis","sp.","Urticinopsis1.sp.jpg","Urticinopsis sp.","None","Jeremy Colman","None","Signy Island, S. Orkney Island","*","Unknown","*","*","*","*","*","*"
"Urticinopsis","antarctica   ","Urticinopsis1.ant.jpg","Urticinopsis antarctica","None","Jenny Beaumont","None","Cheshire Island, Rothera","*","Estefania Rodriguez ","*","*","*","*","*","*"
"Urticinopsis","antarctica   ","Urticinopsis2.ant.jpg","Urticinopsis antarctica","None","Jenny Beaumont","None","South Cove, Rothera","*","Estefania Rodriguez ","*","*","*","*","*","*"
